Content ID,Title,Best Tags,Additional P Texts,주소,연락처,홈페이지
CONT_000000000500270,비자림,"#제주가볼만한곳, #제주도동쪽코스, #산책로, #산림욕, #제주자연, #피톤치드, #비자나무, #제주도볼거리","#제주가볼만한곳 #제주도동쪽코스 #산책로, #산림욕 #제주자연 #피톤치드 #비자나무 #제주도볼거리",제주특별자치도 제주시 구좌읍 비자숲길 55,(+82) 064-710-7911,
CONT_000000000500618,천지연폭포,"#천지연폭포, #제주도갈만한곳, #서귀포시내, #공영관광지, #포토존, #유네스코, #산책로, #용천수","#천지연폭포 #제주도갈만한곳 #서귀포시내, #공영관광지 #포토존 #유네스코 #산책로 #용천수",제주특별자치도 서귀포시 남성중로 2-15,(+82) 064-733-1528,
CNTS_000000000018413,광치기해변,"#일출, #해변, #경관/포토, #흐림, #봄, #자연경관, #포토스팟, #봄꽃, #유채꽃, #반려동물, #반려동물동반입장, #반려동물동반_해변, #반려동물동반_자연, #무장애관광, #반려동물동반_관광지","#일출 #해변 #경관/포토, #흐림 #봄 #자연경관 #포토스팟 #봄꽃 #유채꽃 #반려동물 #반려동물동반입장 #반려동물동반_해변 #반려동물동반_자연 #무장애관광 #반려동물동반_관광지",제주특별자치도 서귀포시 성산읍 섭지코지로 63,(+82) --,
CONT_000000000500083,김녕해수욕장,"#제주도, #제주여행, #여름, #제주바다, #제주동쪽가볼만한곳, #김녕, #바다, #제주해변, #서핑","#제주도 #제주여행 #여름, #제주바다 #제주동쪽가볼만한곳 #김녕 #바다 #제주해변 #서핑",제주특별자치도 제주시 구좌읍 구좌해안로 237,(+82) 064-728-3988,
CONT_000000000500474,우도산호해변 홍조단괴 서빈백사,"#일몰, #해변, #경관/포토, #커플, #맑음, #여름, #자연경관, #포토스팟","#일몰 #해변 #경관/포토, #커플 #맑음 #여름 #자연경관 #포토스팟",제주특별자치도 제주시 우도면 우도해안길 252,(+82) 064-728-3394,
CONT_000000000500361,세화해변,"#제주, #제주바다, #해수욕장, #해변, #세화해수욕장, #세화해변, #제주해변, #토끼섬, #제주해수욕장, #가족","#제주 #제주바다 #해수욕장, #해변 #세화해수욕장 #세화해변 #제주해변 #토끼섬 #제주해수욕장 #가족",제주특별자치도 제주시 구좌읍 해녀박물관길 27,(+82) 064-728-7783,
CONT_000000000500565,아쿠아플라넷 제주,"#제주도관광, #제주도실내가볼만한곳, #제주아쿠아리움, #성산, #해녀, #가오리, #제주실내관광지, #제주도여행지, #우수관광사업체","#제주도관광 #제주도실내가볼만한곳 #제주아쿠아리움, #성산 #해녀 #가오리 #제주실내관광지 #제주도여행지 #우수관광사업체",제주특별자치도 서귀포시 성산읍 섭지코지로 95,(+82) 1833-7001,http://www.aquaplanet.co.kr/jeju/index.jsp
CONT_000000000500378,송악산,"#일몰, #일출, #산, #해변, #걷기/등산, #친구, #커플, #맑음, #가을, #자연경관, #수국, #무장애관광, #공영관광지","#일몰 #일출 #산, #해변 #걷기/등산 #친구 #커플 #맑음 #가을 #자연경관 #수국 #무장애관광 #공영관광지",제주특별자치도 서귀포시 대정읍 송악관광로 421-1,(+82) 064-760-2917,
CONT_000000000500384,쇠소깍,"#제주여행, #제주서귀포가볼만한곳, #제주도체험, #제주자연, #카약체험, #제주바다, #검은모래, #서귀포","#제주여행 #제주서귀포가볼만한곳 #제주도체험, #제주자연 #카약체험 #제주바다 #검은모래 #서귀포",제주특별자치도 서귀포시 쇠소깍로 104,(+82) 064-732-1562,
CONT_000000000500079,금능해수욕장,"#일몰, #해수욕장, #액티비티, #아이, #맑음, #여름, #자연경관, #체험, #레저/체험, #해변, #물놀이, #어린이, #수상레저, #반려동물, #반려동물동반입장, #혼저옵서개, #반려동물동반_관광지","#일몰 #해수욕장 #액티비티, #아이 #맑음 #여름 #자연경관 #체험 #레저/체험 #해변 #물놀이 #어린이 #수상레저 #반려동물 #반려동물동반입장 #혼저옵서개 #반려동물동반_관광지",제주특별자치도 제주시 한림읍 금능길 119-10,(+82) 064-728-3983~4,
CONT_000000000500171,마라도,"#섬속의섬, #휴식/힐링, #부모, #아이, #맑음, #가을, #자연경관, #어린이, #공영관광지","#섬속의섬 #휴식/힐링 #부모, #아이 #맑음 #가을 #자연경관 #어린이 #공영관광지",제주특별자치도 서귀포시 대정읍 마라로101번길 46,(+82) 064-760-4014,www.jejumarado.com
CONT_000000000500425,애월해안도로,"#일몰, #해변, #드라이브, #커플, #맑음, #여름, #자연경관","#일몰 #해변 #드라이브, #커플 #맑음 #여름 #자연경관",제주특별자치도 제주시 애월읍 애월해안로,(+82) 064-728-3394,
CONT_000000000500471,용머리해안,"#제주도관광, #제주서귀포가볼만한곳, #유네스코, #공영관광지, #바다, #산방산, #포토존, #지질문화","#제주도관광 #제주서귀포가볼만한곳 #유네스코, #공영관광지 #바다 #산방산 #포토존 #지질문화",제주특별자치도 서귀포시 안덕면 사계리 112-3,(+82) 064-760-6321,
CONT_000000000500056,곽지해수욕장,"#해수욕장, #일몰, #곽지, #곽지해수욕장, #제주해수욕장, #제주바다, #곽지리, #물놀이, #바다","#해수욕장 #일몰 #곽지, #곽지해수욕장 #제주해수욕장 #제주바다 #곽지리 #물놀이 #바다",제주특별자치도 제주시 애월읍 애월원당길 (곽지리),(+82) 064-728-3985,
CNTS_000000000019973,한라산영실코스,"#부모, #커플, #혼자, #친구, #경관/포토, #오름, #사계절, #자연경관, #체험, #포토스팟, #한라산, #언택트, #어트랙션, #단풍","#부모 #커플 #혼자, #친구 #경관/포토 #오름 #사계절 #자연경관 #체험 #포토스팟 #한라산 #언택트 #어트랙션 #단풍",제주특별자치도 서귀포시 영실로 246,(+82) 064-747-9950,http://www.jeju.go.kr/hallasan/index.htm
CONT_000000000500531,정방폭포,"#서귀포가볼만한곳, #정방폭포, #공영관광지, #제주자연, #제주폭포, #주상절리, #다크투어리즘, #포토스팟","#서귀포가볼만한곳 #정방폭포 #공영관광지, #제주자연 #제주폭포 #주상절리 #다크투어리즘 #포토스팟",제주특별자치도 서귀포시 칠십리로214번길 37,(+82) 064-733-1530,
CONT_000000000500570,제주절물자연휴양림,"#제주여행, #자연휴양림추천, #숲속의집, #휴양림, #힐링, #숲길, #제주자연, #제주산책, #가족여행","#제주여행 #자연휴양림추천 #숲속의집, #휴양림 #힐링 #숲길 #제주자연 #제주산책 #가족여행",제주특별자치도 제주시 명림로 584,(+82) 064-728-1510,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030053
CONT_000000000500469,용두암,"#공영관광지, #일출, #해변, #경관/포토, #맑음, #자연경관, #포토스팟, #무장애관광","#공영관광지 #일출 #해변, #경관/포토 #맑음 #자연경관 #포토스팟 #무장애관광",제주특별자치도 제주시 용두암길 15,(+82) 064-728-3917,
CNTS_000000000018432,가파도,"#섬속의섬, #경관/포토, #휴식/힐링, #친구, #커플, #맑음, #봄, #자연경관, #포토스팟, #언택트","#섬속의섬 #경관/포토 #휴식/힐링, #친구 #커플 #맑음 #봄 #자연경관 #포토스팟 #언택트",제주특별자치도 서귀포시 대정읍 가파리,(+82) 064-794-7130,https://wonderfulis.co.kr/island_island/gapado/
CONT_000000000500285,산방산,"#제주도여행, #제주서쪽가볼만한곳, #지질트레일, #서귀포, #제주도볼거리, #트래킹, #등산로, #제주자연","#제주도여행 #제주서쪽가볼만한곳 #지질트레일, #서귀포 #제주도볼거리 #트래킹 #등산로 #제주자연",제주특별자치도 서귀포시 안덕면 사계리 산 16,(+82) 064-794-2940,
CONT_000000000500118,다랑쉬오름,"#일출, #밤, #오름, #걷기/등산, #친구, #가을, #힐링, #자연경관, #도보여행, #도보, #억새","#일출 #밤 #오름, #걷기/등산 #친구 #가을 #힐링 #자연경관 #도보여행 #도보 #억새",제주특별자치도 제주시 구좌읍 세화리 2705,(+82) 064-740-6000,
CONT_000000000500690,한림공원,"#휴식/힐링, #테마공원, #아이, #맑음, #봄, #우수관광사업체, #동굴, #어린이, #매화, #수국, #안전여행스탬프, #무장애관광, #반려동물동반입장, #반려동물, #반려동물동반_관광지","#휴식/힐링 #테마공원 #아이, #맑음 #봄 #우수관광사업체 #동굴 #어린이 #매화 #수국 #안전여행스탬프 #무장애관광 #반려동물동반입장 #반려동물 #반려동물동반_관광지",제주특별자치도 제주시 한림읍 한림로 300(협재리),(+82) 064-796-0001,한림공원
CNTS_000000000018248,더럭초등학교,"#경관/포토, #커플, #아이, #맑음, #봄, #포토스팟, #어린이, #봄꽃, #벚꽃, #무장애관광","#경관/포토 #커플 #아이, #맑음 #봄 #포토스팟 #어린이 #봄꽃 #벚꽃 #무장애관광",제주특별자치도 제주시 애월읍 하가로 195,(+82) 064-797-7200,https://deoreok.jje.es.kr/deoreok
CNTS_000000000018409,외돌개,"#일출, #해변, #경관/포토, #휴식/힐링, #맑음, #가을, #자연경관, #포토스팟, #공영관광지","#일출 #해변 #경관/포토, #휴식/힐링 #맑음 #가을 #자연경관 #포토스팟 #공영관광지",제주특별자치도 서귀포시 서홍동 791,(+82) 064-760-3192,
CNTS_000000000019331,천제연폭포,"#폭포, #경관/포토, #커플, #아이, #맑음, #여름, #포토스팟, #어린이, #봄꽃, #벚꽃, #무장애관광, #공영관광지","#폭포 #경관/포토 #커플, #아이 #맑음 #여름 #포토스팟 #어린이 #봄꽃 #벚꽃 #무장애관광 #공영관광지",제주특별자치도 서귀포시 천제연로 132(중문동),(+82) 064-760-6331,
CNTS_000000000018384,방주교회,"#부모, #커플, #친구, #아이, #맑음, #사계절, #문화관광, #어린이, #어트랙션, #무장애관광","#부모 #커플 #친구, #아이 #맑음 #사계절 #문화관광 #어린이 #어트랙션 #무장애관광",제주특별자치도 서귀포시 안덕면 산록남로762번길 113,(+82) 064-794-0611,http://www.bangjuchurch.org/pages.php?p=4_1_1_1
CONT_000000000500604,중문색달해수욕장,"#제주, #제주바다, #해수욕장, #중문, #중문해수욕장, #중문해변, #제주도, #여름, #여름바다, #바다","#제주 #제주바다 #해수욕장, #중문 #중문해수욕장 #중문해변 #제주도 #여름 #여름바다 #바다",제주특별자치도 서귀포시 중문관광로72번길 100,(+82) 064-739-4993,
CNTS_000000000019997,이호테우말등대,"#등대, #일몰, #경관/포토, #커플, #맑음, #가을, #포토스팟","#등대 #일몰 #경관/포토, #커플 #맑음 #가을 #포토스팟",제주특별자치도 제주시 서해안로 58,(+82) --,
CNTS_200000000008053,성이시돌목장,"#제주여행, #제주도아이와가볼만한곳, #제주목장, #제주서쪽, #한림, #무료관광지, #테쉬폰, #유기농우유","#제주여행 #제주도아이와가볼만한곳 #제주목장, #제주서쪽 #한림 #무료관광지 #테쉬폰 #유기농우유",제주특별자치도 제주시 한림읍 산록남로 53,(+82) 064-796-0396,
CONT_000000000500005,제주김녕미로공원,"#제주도여행, #제주도놀거리, #제주동쪽, #미로공원, #고양이, #발자전거, #테마파크, #어린이추천","#제주도여행 #제주도놀거리 #제주동쪽, #미로공원 #고양이 #발자전거 #테마파크 #어린이추천",제주특별자치도 제주시 구좌읍 만장굴길 122,(+82) 0507-1402-9266,www.jejumaze.com
CONT_000000000500267,비양도,"#제주도여행, #제주도서쪽코스, #섬속의섬, #한림읍, #제주바다, #트래킹, #제주힐링, #포토존, #유네스코","#제주도여행 #제주도서쪽코스 #섬속의섬, #한림읍 #제주바다 #트래킹 #제주힐링 #포토존 #유네스코",제주특별자치도 제주시 한림읍 협재리,(+82) 064-796-7522,
CONT_000000000500403,신창~차귀해안도로,"#일몰, #드라이브, #커플, #맑음, #가을, #자연경관, #무장애관광","#일몰 #드라이브 #커플, #맑음 #가을 #자연경관 #무장애관광",제주특별자치도 제주시 한경면 한경해안로 470,(+82) --,
CONT_000000000500707,휴애리 자연생활공원,"#제주여행, #제주도서귀포가볼만한곳, #계절꽃축제, #포토스팟, #동물농장, #먹이주기, #제주자연, #제주도체험, #힐링, #우수관광사업체","#제주여행 #제주도서귀포가볼만한곳 #계절꽃축제, #포토스팟 #동물농장 #먹이주기 #제주자연 #제주도체험 #힐링 #우수관광사업체",제주특별자치도 서귀포시 남원읍 신례동로 256,(+82) 064-732-2114,www.hueree.com/
CNTS_000000000020476,주상절리대,"#제주여행, #제주도서귀포가볼만한곳, #제주도볼거리, #제주자연, #서귀포중문, #제주바다, #유네스코, #무장애관광","#제주여행 #제주도서귀포가볼만한곳 #제주도볼거리, #제주자연 #서귀포중문 #제주바다 #유네스코 #무장애관광",제주특별자치도 서귀포시 이어도로 36-30,(+82) 064-738-1521,
CONT_000000000500046,검멀레해변,"#해변, #경관/포토, #커플, #맑음, #여름, #자연경관, #포토스팟, #k-drama","#해변 #경관/포토 #커플, #맑음 #여름 #자연경관 #포토스팟 #k-drama",제주특별자치도 제주시 우도면 우도해안길,(+82) 064-728-3394,
CNTS_000000000020159,애월한담해안산책로,"#해변, #걷기/등산, #친구, #맑음, #유채꽃, #자연경관, #봄꽃, #반려동물, #반려동물동반입장, #반려동물동반_산책로, #반려동물동반_자연, #반려동물동반_관광지","#해변 #걷기/등산 #친구, #맑음 #유채꽃 #자연경관 #봄꽃 #반려동물 #반려동물동반입장 #반려동물동반_산책로 #반려동물동반_자연 #반려동물동반_관광지",제주특별자치도 제주시 애월읍 곽지리 1359,(+82),
CONT_000000000500182,만장굴,"#동굴, #경관/포토, #아이, #흐림, #여름, #자연경관, #포토스팟, #어린이, #유네스코","#동굴 #경관/포토 #아이, #흐림 #여름 #자연경관 #포토스팟 #어린이 #유네스코",제주특별자치도 제주시 구좌읍 만장굴길 182,(+82) 064-710-7903,
CNTS_000000000018383,황우지해안,"#해변, #경관/포토, #액티비티, #친구, #커플, #맑음, #여름, #자연경관, #체험, #레저/체험, #포토스팟, #수상레저, #어트랙션","#해변 #경관/포토 #액티비티, #친구 #커플 #맑음 #여름 #자연경관 #체험 #레저/체험 #포토스팟 #수상레저 #어트랙션",제주특별자치도 서귀포시 서홍동 766-1,(+82) 064-760-4601,
CONT_000000000501154,리치망고,"#스페셜망고쉐이크, #망고라떼, #수제망고코코넛잽, #망고코코넛쿠키, #카페, #망고, #음식, #망고스무디, #망고에이드, #망고주스, #무장애관광","#스페셜망고쉐이크 #망고라떼 #수제망고코코넛잽, #망고코코넛쿠키 #카페 #망고 #음식 #망고스무디 #망고에이드 #망고주스 #무장애관광",제주특별자치도 제주시 애월읍 애월해안로 272,(+82) 070-4243-5959,
CONT_000000000500232,백약이오름,"#제주동쪽가볼만한곳, #제주오름, #제주핫플, #제주억새, #산책로, #오름추천, #제주동쪽, #서귀포오름","#제주동쪽가볼만한곳 #제주오름 #제주핫플, #제주억새 #산책로 #오름추천 #제주동쪽 #서귀포오름",제주특별자치도 서귀포시 표선면 성읍리 산 1,(+82),
CONT_000000000500312,새연교,"#밤, #경관/포토, #커플, #맑음, #포토스팟, #무장애관광","#밤 #경관/포토 #커플, #맑음 #포토스팟 #무장애관광",제주특별자치도 서귀포시 서홍동 707-4,(+82) 064-760-3471,
CNTS_000000000018415,노리매공원,"#경관/포토, #테마공원, #커플, #맑음, #봄, #자연경관, #포토스팟, #매화, #반려동물, #반려동물동반입장, #반려동물동반_관광지","#경관/포토 #테마공원 #커플, #맑음 #봄 #자연경관 #포토스팟 #매화 #반려동물 #반려동물동반입장 #반려동물동반_관광지",제주특별자치도 서귀포시 대정읍 중산간서로 2260-15,(+82) 064-792-8211,www.norimae.com
CNTS_000000000020050,보롬왓,"#경관/포토, #휴식/힐링, #친구, #커플, #맑음, #봄, #여름, #가을, #자연경관, #포토스팟, #수국, #반려동물, #반려동물동반입장, #반려동물동반_관광지","#경관/포토 #휴식/힐링 #친구, #커플 #맑음 #봄 #여름 #가을 #자연경관 #포토스팟 #수국 #반려동물 #반려동물동반입장 #반려동물동반_관광지",제주특별자치도 서귀포시 표선면 번영로 2350-104,(+82) 064-742-8181,https://www.instagram.com/boromwat_/
CONT_000000000500057,관덕정,"#제주도여행, #제주시가볼만한곳, #제주문화, #제주공항근처, #제주볼거리, #제주시내, #야간개장, #제주공연","#제주도여행 #제주시가볼만한곳 #제주문화, #제주공항근처 #제주볼거리 #제주시내 #야간개장 #제주공연",제주특별자치도 제주시 관덕로 19,(+82) 064-710-6718,https://www.jeju.go.kr/mokkwana/intro/kwan.htm
CNTS_200000000007676,신창풍차해안도로,"#제주여행, #제주도서쪽코스, #제주풍차, #제주여름, #드라이브, #포토스팟, #바다목장, #제주바다","#제주여행 #제주도서쪽코스 #제주풍차, #제주여름 #드라이브 #포토스팟 #바다목장 #제주바다",제주특별자치도 제주시 한경면 한경해안로 485,(+82),
CNTS_000000000001196,표선해수욕장,"#해수욕장, #액티비티, #커플, #맑음, #여름, #자연경관, #체험, #레저/체험, #해변, #물놀이, #수상레저, #반려동물, #반려동물동반입장, #반려동물동반_해변, #반려동물동반_자연, #무장애관광, #반려동물동반_관광지","#해수욕장 #액티비티 #커플, #맑음 #여름 #자연경관 #체험 #레저/체험 #해변 #물놀이 #수상레저 #반려동물 #반려동물동반입장 #반려동물동반_해변 #반려동물동반_자연 #무장애관광 #반려동물동반_관광지",제주특별자치도 서귀포시 표선면 표선리,(+82) 064-760-4992,
CNTS_000000000001158,메이즈랜드,"#제주도, #제주가볼만한곳, #제주여행, #제주동쪽가볼만한곳, #제주관광지, #제주포토존, #제주명소, #제주핫플, #우수관광사업체","#제주도 #제주가볼만한곳 #제주여행, #제주동쪽가볼만한곳 #제주관광지 #제주포토존 #제주명소 #제주핫플 #우수관광사업체",제주특별자치도 제주시 구좌읍 비자림로 2134-47,(+82) 064-784-3838,https://www.mazeland.co.kr/
CNTS_000000000019568,제주국제공항,"#공항, #제주국제공항, #실내관광지, #어트랙션, #무장애관광","#공항 #제주국제공항 #실내관광지, #어트랙션 #무장애관광",제주특별자치도 제주시 공항로 2,(+82) -1661-2626,https://www.airport.co.kr/jeju/index.do
CNTS_000000000018435,윗세오름,"#오름, #걷기/등산, #친구, #자연경관, #도보여행, #도보, #한라산, #언택트","#오름 #걷기/등산 #친구, #자연경관 #도보여행 #도보 #한라산 #언택트",제주특별자치도 제주시 애월읍 광령리 산 183-1,(+82) 064-713-9950,https://jeju.go.kr/hallasan/index.htm
CNTS_000000000018468,제주동백수목원,"#경관/포토, #커플, #겨울, #제주동백수목원, #자연경관, #동백, #포토스팟","#경관/포토 #커플 #겨울, #제주동백수목원 #자연경관 #동백 #포토스팟",제주특별자치도 서귀포시 남원읍 위미리 927,(+82) 064-764-4473,
CNTS_000000000000972,김영갑갤러리 두모악,"#예술, #실내, #미술/박물관, #커플, #흐림, #겨울, #문화관광, #어트랙션, #무장애관광","#예술 #실내 #미술/박물관, #커플 #흐림 #겨울 #문화관광 #어트랙션 #무장애관광",제주특별자치도 서귀포시 성산읍 삼달로 137,(+82) 064-784-9907,http://www.dumoak.com/
CONT_000000000500168,따라비오름,"#일출, #오름, #걷기/등산, #친구, #가을, #자연경관, #도보여행, #도보, #억새, #반려동물, #반려동물동반입장, #반려동물동반_오름, #반려동물동반_자연, #반려동물동반_관광지","#일출 #오름 #걷기/등산, #친구 #가을 #자연경관 #도보여행 #도보 #억새 #반려동물 #반려동물동반입장 #반려동물동반_오름 #반려동물동반_자연 #반려동물동반_관광지",제주특별자치도 서귀포시 표선면 가시리 산 62,(+82),
CNTS_000000000019970,백록담,"#커플, #혼자, #친구, #경관/포토, #맑음, #사계절, #등산, #자연경관, #포토스팟, #한라산, #언택트","#커플 #혼자 #친구, #경관/포토 #맑음 #사계절 #등산 #자연경관 #포토스팟 #한라산 #언택트",제주특별자치도 서귀포시 토평동 산 15-1,(+82) 064-756-9950~1,http://www.jeju.go.kr/hallasan/index.htm
CNTS_000000000018455,중문관광단지,"#부모, #커플, #아이, #체험관광, #쇼핑, #어린이, #어트랙션","#부모 #커플 #아이, #체험관광 #쇼핑 #어린이 #어트랙션",제주특별자치도 서귀포시 중문관광로72번길 35,(+82),
CONT_000000000500673,하고수동해변,"#해변, #휴식/힐링, #친구, #커플, #맑음, #여름, #자연경관","#해변 #휴식/힐링 #친구, #커플 #맑음 #여름 #자연경관",제주특별자치도 제주시 우도면 연평리,(+82) 064-728-4352,
CONT_000000000500301,삼양해수욕장,"#해수욕장, #액티비티, #친구, #커플, #맑음, #여름, #자연경관, #체험, #레저/체험, #해변, #물놀이, #반려동물, #반려동물동반입장, #반려동물동반_해변, #반려동물동반_자연, #무장애관광, #반려동물동반_관광지","#해수욕장 #액티비티 #친구, #커플 #맑음 #여름 #자연경관 #체험 #레저/체험 #해변 #물놀이 #반려동물 #반려동물동반입장 #반려동물동반_해변 #반려동물동반_자연 #무장애관광 #반려동물동반_관광지",제주특별자치도 제주시 삼양동,(+82) 064-728-3991,
CONT_000000000500547,제주돌문화공원,"#제주여행, #제주도동쪽코스, #제주신화, #제주돌담, #테마공원, #설문대할망, #생태공원, #박물관","#제주여행 #제주도동쪽코스 #제주신화, #제주돌담 #테마공원 #설문대할망 #생태공원 #박물관",제주특별자치도 제주시 조천읍 남조로 2023,(+82) 064-710-7731,http://www.jeju.go.kr/jejustonepark/index.htm
CNTS_000000000020230,아침미소목장,"#체험관광, #아이, #맑음, #봄, #체험, #어린이, #어트랙션, #반려동물, #반려동물동반입장, #사진명소, #테마공원, #포토존, #반려동물동반_관광지","#체험관광 #아이 #맑음, #봄 #체험 #어린이 #어트랙션 #반려동물 #반려동물동반입장 #사진명소 #테마공원 #포토존 #반려동물동반_관광지",제주특별자치도 제주시 첨단동길 160-20,(+82) 064-727-2545,morningsmile.modoo.at/
CONT_000000000500077,선녀와나무꾼,"#실내, #테마공원, #커플, #아이, #흐림, #사계절, #실내관광지, #어린이, #어트랙션, #무장애관광, #우수관광사업체","#실내 #테마공원 #커플, #아이 #흐림 #사계절 #실내관광지 #어린이 #어트랙션 #무장애관광 #우수관광사업체",제주특별자치도 제주시 조천읍 선교로 267,(+82) 064-784-9001,www.namuggun.com
CONT_000000000500177,마방목지,"#경관/포토, #문화유적지, #아이, #맑음, #봄, #자연경관, #역사유적, #포토스팟, #어린이, #무장애관광","#경관/포토 #문화유적지 #아이, #맑음 #봄 #자연경관 #역사유적 #포토스팟 #어린이 #무장애관광",제주특별자치도 제주시 516로 2480,(+82) 064-710-7942,
CONT_000000000500406,아끈다랑쉬,"#제주도관광, #제주동쪽코스, #제주억새, #제주오름, #오름추천, #트래킹, #산책로, #다랑쉬오름","#제주도관광 #제주동쪽코스 #제주억새, #제주오름 #오름추천 #트래킹 #산책로 #다랑쉬오름",제주특별자치도 제주시 구좌읍 세화리 2593,(+82),
