가게명,주소,연락처,품목
행복한머리방,제주시 서광로3길 42(용담일동),064-758-8799,"컷트(성인) 5,000원, 컷트(학생) 4,000원, 펌(60세이상, 염색약 별도) 15,000원, 매직(단발기준) 30,000원"
정다운미용샵,제주시 진남로6길 36-1(화북일동),064-784-5667,"파마 20,000원, 커트 10,000원, 업스타일 30,000원, 염색 20,000원"
머리하기좋은날,제주시 신대로6길 11(연동),064-713-6667,"커트(샴푸미포함) 8,000원, 염색+커트 25,000원, 파마+커트 25,000원, 헤어트리트먼트 10,000원"
라영헤어숍,제주시 다랑곶4길 18(노형동),064-744-3340,"컷트 10,000원, 컷트+샴푸 13,000원, 염색 25,000원~35,000원"
바다풍경펜션,제주시 애월읍 애월해안로 923,070-4364-9466,"202호, 302호 40,000원, 203호 50,000원, 101호 70,000원, 301호, 303호 50,000원"
시드니호텔,제주시 애월읍 애월해안로 943,010-9716-5432,"스탠다드더블 40,000원, 한식온돌 50,000원, 디럭스트윈 50,000원, 디럭스트리플 50,000원"
봉골레하우스,제주시 추자면 추자로 94-1,064-744-2332,"숙박(1박 1인) 40,000원, 숙박(식사포함, 1박 1인) 50,000원"
진영세탁소,제주시 오복4길 9(이도이동),064-724-1629,"양복 상의 4,000원, 양복 하의 4,000원"
블랙데이,"제주시 만덕로 23-2, 1층(건입동)",064)758-3286,"자장면 4,000원, 짬뽕 6,000원, 볶음밥 6,000원, 탕수육(1인) 5,000원, 밀면 6,000원"
오솔길,제주시 임항로 264(건입동),758-3363,"오겹살(200g) 12,000원, 목살(200g) 12,000원"
해바라기,서귀포시 남원읍 한신로 280,064-764-9909,"두루치기10,000원, 김치찌개 8,000원, 족탕 8,000원, 콩국수(계절) 8,000원"
고성장터국밥,서귀포시 성산읍 고성동서로45번길 19,064-783-3233,"몸국 7,000원, 국밥 7,000원, 고기국수 7,000원"
백년손님,서귀포시 성산읍 금백조로 114,064-783-3456,"국밥 8,000원, 고기국수 7,000원, 멸치국수 6,000원"
생원전복,서귀포시 안덕면 산방로 7,064-792-2109,"돈샤브샤브 13,000원, 성게비빔밥 20,000원"
한아름식당,서귀포시 표선면 세성로 265,064-787-5403,"돼지고기 12,000원"
새서울두루치기,서귀포시 태평로 406(서귀동),064-732-4211,"흑돼지두루치기 7,000원, 낙지두루치기 7,000원"
한동네,서귀포시 동부로 4(서귀동),064-732-4573,"성게보말국 12,000원, 비빔국수 6,000원"
뽕뽕식당,중앙로42번길 33,064-733-6639,"칼국수 5,000원, 냉면 7,000원, 된장찌개 7,000원"
바당국수,서귀포시 동문동로 21-1(서귀동),064-733-9259,"멸치국수 7,000원, 비빔국수 8,000원"
옛날어전,서귀포시 동문동로 31(서귀동),064-733-2333,"참치회덮밥 8,000원, 소머리국밥 8,000원, 참치회 60,000원"
신영식당,서귀포시 중앙로71번길 4(서귀동),064-763-3022,"된장찌개 7,000원, 순두부 7,000원"
대광장식당,서귀포시 중앙로 79(서귀동),064-762-9233,"김치된장찌개 6,000원, 순두부 5,000원, 만두 5,000원, 냉면 8,000원"
성광식당,서귀포시 일주동로 8184(신효동),064-767-4110,"순대국 6,000원, 내장탕 6,000원, 순두부 6,000원"
영춘반점,서귀포시 중앙로 154(동홍동),0507-1420-5156,"짜장면 5,000원, 짬뽕 7,000원"
김대감숯불갈비,동홍중앙로 67 (김대감),064-763-2777,"양념갈비 13,000원, 생갈비 16,000원"
맛있는집,서귀포시 중앙로 110(동홍동),064-763-3760,"비빔밥 7,000원, 순두부 7,000원"
둠비정원,서귀포시 신중로13번길 20(강정동),064-739-7787,"비지탕 8,000원, 해물순두부 8,000원, 콩국수 8,000원"
줄서서먹는짜장,서귀포시 일주동로 9213(법환동),064-738-6465,"환경짜장 5,000원, 짬뽕 7,000원"
소리헤어샵,서귀포시 중앙로4번길 4(서귀동),064-762-0806,"일반펌 30,000원, 염색 30,000원"
영미용실,서귀포시 이중섭로 5-7(서귀동),064-762-8043,"커트 10,000원, 파마 30,000원, 올림머리 30,000원, 세트파마 50,000원"
영천이용원,516로 462 (하영하영),064-732-7683,"커트 13,000원, 이발 17,000원"
아름다운풍경미용실,서귀포시 흙담솔로 20(서홍동),064-732-8858,"커트 10,000원, 파마 30,000원, 염색 30,000원"
웰빙이용원,천제연로188번길 6-6,064-738-6444,"커트 12,000~15,000원, 염색 15,000원, 면도 12,000원"
장원민박,서귀포시 천제연로 49(색달동),064-738-1110,"숙박(8평) 25,000원, 숙박(10평) 30,000원"
스피드세탁소,서귀포시  남원읍 태위로 657(남원리),064-764-4071,"양복1벌 8,000원, 이불(겨울용) 10,000원"
화순새마을목욕탕,서귀포시 안덕면 화순중앙로 76,"064-710-8884, 010-4136-8884","목욕(성인) 5,000원, 목욕(어린이) 2,000원"
윤경미용실,서귀포시 중정로 91번길 53-1,064-762-1954,"커트 10,000원, 펌(기본) 25,000원"
오일장왕십리식당,서귀포시 토평서로11번길 150,064-733-0105,"고기국밥 7,000원, 순대국밥 7,000원"
일번지식당,서귀포시 토평서로11번길 150,064-733-0686,"국밥 7,000원, 국수 5,000원"
신미국밥,구좌읍 김녕로 108,064-784-9995,"순대국밥 9,000원, 순대내장국 9,000원, 뼈해장국 9,000원, 해물순두부 9,000원, 한치물회 12,000원"
우리두리,구좌읍 김녕로 173,064-782-5442,"정식 7,000원, 우럭정식 12,000원, 활우럭조림 15,000원"
소라횟집,구좌읍 해맞이해안로 1240-3,064-784-3545,"매운탕 13,000원, 조림 13,000원"
김녕빵집,구좌읍 김녕로1길 25 (김녕드림타운),010-5793-8145,"누룽지치아바타 2,500원, 크로아상 3,100원"
숨어있는집 함덕펜션,조천읍 함덕30길 14-5,064-782-1579,"손반죽해물칼국수 9,000원, 오빠가튀긴바삭닭 20,000원, 오빠가튀긴똥집튀김 12,000원, 감자튀김 12,000원"
선이네밥집,조천읍 신북로 262 (조천리사무소),064-727-3450,"한식 9,000원 , 흑돼지불고기정식 9,000원"
몰돗,조천읍 함대로 2,064-783-1313,"말스페셜코스 27,000원, 말코스 23,000원, 말사시미 9,900원"
함덕우동집,조천읍 함덕6길 39 (함덕 천마에코피아),064-782-0406,"옛날우동 6,000원, 냉우동 6,500원, 김치어묵우동 7,000원"
제라진밥상,조천읍 함와로 4,064-784-8858,"성인아침 7,900원, 성인점심 8,900원, 어린이아침 4,900원, 어린이점심 5,900원"
옛날통닭닭치고족치고,조천읍 함와로 54,064-784-1752,"옛날통닭 11,000원, 후라이드 14,000원, 양념치킨 15,000원"
토닥토닥,관덕로15길 7,064-702-9219,"우동 5,000원, 흑돼지안심(돈가스) 7,000원, 흑돼지등심(돈가스) 8,000원"
백년귤화다,중앙로11길 1,064-900-9600,"감귤주스 3,000원, 귤피차 3,000원, 풋귤주스 4,000원"
이경민헤어스토리,중앙로 247,064-723-2234,"일반컷트 10,000원, 염색(뿌리염색) 28,000원"
왕왕순대국밥몸국,무근성7길 20,0507-1424-2283,"순대국밥 6,000원, 몸국 6,000원"
명가동태탕,남성로26길 46,064-702-0782,"동태탕 7,000원, 동태내장탕 8,000원"
진이칼국수,남성로 154,064-724-5525,"보리밥+칼국수 8,000원, 보리밥+칼만두 8,000원"
송림반점,관덕로 2-1,064-722-4229,"짜장면 5,000원, 짬뽕 6,000원, 간짜장 6,000원"
김희선제주몸국,어영길 45-6,064-745-0047,"몸국 9,000원, 고사리육개장 9,000원, 성게미역국 12,000원, 고등어구이 12,000원"
삼복당,서문로 66,064-752-2475,"쨈빵 900원, 단팥빵 900원, 크림빵 900원, 메론빵 900원, 사라다빵 2,500원, 맘모스 4,000원"
청풍국수,진남로6길 40,064-726-1484,"고기국수 8,000원, 멸치국수 7,000원"
주먹밥이야기,진동로3길 23,064-755-8294,"주먹밥 3,000원, 컵밥 5,000원, 떡볶이 4,500원"
서울이용원,신광로 22,064-745-1593,"이발 15,000원, 염색 15,000원"
보이앤맨,원노형로 22,064-747-8738,"남성(성인)컷트 8,000원, 청소년컷트 7,000원, 염색 20,000원"
새물국수,안덕면 화순해안로 63 (황금미락),010-6389-0610,"멸치국수 7,000원, 돔베고기(대) 15,000원, 돔베고기(소) 8,000원"
소천지,칠십리로485번길 2,064-733-5403,"돈까스 9,000원, 두루치기 8,000원, 고기국수 7,000원"
바다해호텔,천지연로 3-1,064-762-5300,"더블(일반) 45,000원, 더블(오션) 50,000원, 트윈 50,000원"
제주면옥,일주동로 8697,064-732-3252,"만두백반 7,000원, 만두 7,000원, 떡만둣국 7,000원"
밥의정석,중앙로 198-26,070-8900-0507,"소갈비살양념구이정식 13,000원, 흑돼지고추장양념구이정식 10,000원, 소고기된장찌개 7,000원, 해물된장찌개 7,000원"
서울불고기,동홍중앙로 17 (그린생활마트),064-763-6555,"서울불고기 9,900원, 소고기육개장 6,000원"
제주제일밀면,중앙로150번길 23,064-762-2789,"밀면 7,000원, 비빔면 7,000원"
중화요리궁,서문로 30 (조마루),064-763-2280,"짜장면 5,000원, 해물우동 7,000원"
신선국수,강정하로 102,064-739-2590,"비빔국수 7,000원, 수육 10,000원"
미미가헤어샵,신서로48번길 49,064-739-1238,"학생컷트 7,000원, 성인컷트 10,000원, 파마 30,000원, 염색 30,000원"
성산일출콘도민박,성산읍 성산중앙로 34,064-784-3125,"객실 1인 30,000원, 객실 2인 40,000원, 객실 3인 50,000원"
삼화이용원,솜반천로 14-1,064-732-1044,"컷트 14,000원, 염색 12,000원"
제주에코스위츠,중문상로 207-13,064-738-9975,"*조식 포함, 디럭스 스위트룸(평일 비수기, 20평) 89,000원, 디럭스 스위트룸(주말 비수기. 20평) 105,000원, 자쿠지 스위트룸(평일 비수기, 20평) 99,000원, 자쿠지 스위트룸(주말 비수기, 20평) 115,000원"
시드니호텔2,애월읍 애월해안로 945,0507-1429-6688,"디럭스더블 40,000원, 파노라마트윈 55,000원, 패밀리트윈 65,000원"
신해바라기제2호점,신산로 67 (신 해바리기 하우스),064-702-2324,"국수 5,000원, 비빔국수 5,000원"
애진,신성로10길 1,064-757-9800,"생오겹살(200g) 13,000원, 생목살(200g) 13,000원, 한우등심(180g) 29,000원"
남이헤어샵,조천읍 신북로 229,064-782-8288,"커트 10,000원, 염색 20,000원, 펌 20,000원"
금악 똣똣라면,한림읍 금악로 18,010-7120-8253,"똣똣라면 6,500원"
현대미용실,애월읍 애월로 101,010-4794-5603,"펌 30,000원, 특펌 45,000원, 염색 25,000원, 드라이 10,000, 커트 8,000"
오렌지헤어샵,조천읍 함덕남12길 20,064-782-0398,"커트 12,000원, 파마 30,000원"
옥이이모,조천읍 신북로 86 (라 스위트),0507-1465-4260,"순댓국 8,000원, 김치찌개 8,000원, 된장찌개 8,000원"
신촌미용실,조천읍 신촌5길 24,064-784-9656,"일반파마 25,000원, 염색 25,000원, 커트 7,000원"
이경화미용실,신성로 27,064)721-3577,"펌 25,000원, 커트 7,000원, 드라이 7,000원, 염색 20,000원, 크리닉 10,000원"
쏠레일베이커리카페,번영로 508,064)900-2016,"아메리카노 2,500원, 아이스 아메리카노 2,800원, 해피쏠레일 2,500원"
헤어스타일미용실,비월길 7,064)744-2204,"커트 13,000원, 염색 20,000원, 열펌 40,000원"
코코헤어샵,월랑로10길 29-1,064-746-0050,"커트 10,000~15,000원, 펌 35,000~40,000원"
요메기섬현재식당,도두항길 10,070-7778-3356,"활우럭매운탕 12,000원, 성게미역국 12,000원, 전복죽 12,000원"
인순이미용실,대정읍 상모로 323 (인순이미용실),064-794-3123,"커트 10,000~13,000원, 파마 25,000~40,000원, 드라이 5,000~10,000원"
돈하르방,명동로 33,064-733-0786,"흑돼지근고기 39,000원, 연탄석쇠불고기 11,000원"
은서헤어라인,중앙로48번길 8-1 (동아전자),064-762-5458,"커트 10,000원, 드라이 7,000원, 파마 35,000원"
오규동,솜반천로14번길 3,064-733-0590,"규동 6,900원, 김치동 6,900원, 부타동 6,900원"
영림흑돼지가든,한림읍 한수풀로 30,064-796-6956,"양념갈비(350g) 15,000원, 가브리살(200g) 17,000원"
교래퐁낭,조천읍 남조로 1773,064-782-9699,"쌈정식 14,000원, 돈가스 10,000원"
제주골목국수,신성로 42-1,064-722-0136,"멸치국수 5,000원, 고기국수 7,000원"
유별난 수제돈까스,정원로 41,064-713-7375,"생돈까스 7,000원, 해물볶음밥 7,000원"
푸동,원노형2길 22 (금운주택),064-711-4080,"짜장면 4,000원, 짬뽕 5,000원"
만강촌옛날칼국수,월랑로 42,064-744-4780,"닭칼국수 6,900원, 닭곰탕 6,900원, 왕만두 한접시(5개) 6,900원"
귀빈반점,정원로 53-1,064-749-3080,"짜장면 5,000원, 짬뽕 6,000원"
돈야탑촌본점,우정로18길 7,070-7803-9292,"양념갈매기(200g) 14,000원, 매콤갈매기(200g) 14,000원, 마늘갈매기(200g) 15,000원, 머리뒷고기(200g) 15,000원, 머리항정(200g) 15,000원, 덜미살(200g) 15,000원"
제주주민센터,무근성길 46,064-725-0030,"차돌된장찌개 8,000원, 돈한마리몸국 8,000원, 돼지국밥 7,000원"
일호생구이,용문로 146,064-711-4026,"김치찌개 6,000원, 된장찌개 6,000원, 청국장 6,000원"
화북코끼리식당,진동로5길 34,064-756-7854,"동태탕(뚝배기) 8,000원, 동태탕(소) 25,000원, 동태탕(대) 35,000원, 닭볶음탕(뚝배기) 8,000원, 닭볶음탕(소) 25,000원, 닭볶음탕(대) 35,000원"
또옵서,번영로 459,064-794-0051,"된장찌개 6,000원, 김치찌개 8,000원, 동태찌개 7,000원"
오양손칼국수,공설로9길 1,064-723-3367,"비빔국수 8,000원, 오양칼국수 7,000원"
강김밥집,애월읍 하귀9길 2,064-711-5096,"강김밥 2,500원, 참치김밥 3,500원, 진미김밥 3,500원, 멸치국수 5,000원, 비빔국수 6,000원"
하이한담,고마로9길 20-1,064-799-1352,"한담김밥 2,500원, 어묵김밥 2,500원, 매운어묵김밥 2,500원"
왕서방,애월읍 중엄3길 2-1,064-713-0090,"짜장면 5,500원, 짜장밥 6,500원, 볶음밥 7,000원, 우동 7,000원, 짬뽕 7,500원, 간짜장 7,500원"
토다게스트하우스,동문로 10,064-757-3993,"6인실 19,000원, 4인실 22,000원, 2인실 50,000원"
맠(makk),진남로6길 3,010-9358-7499,"마카롱1구 2,000원, 마카롱6구 10,000원, 마카롱9구 15,000원"
제주사진공방,연신로 78,010-7508-6420,"증명사진 15,000원, 여권사진 15,000원, 비자사진 15,000원, 프로필사진 50,000원, 장수사진 50,000원, 4인가족촬영 150,000원"
일공팔공(1080)칼국수,서광로13길 3,064-759-1089,"1080칼국수 7,000원, 바지락칼국수 8,000원, 닭칼국수 8,000원"
해림식당,남성로 12,064-757-7698,"된장찌개 8,000원, 참치찌개 8,000원, 순두부 8,000원"
주헤어커커,남성로8길 7,064-756-7545,"컷트(일반) 10,000원, 학생컷 8,000원, 드라이 8,000원"
영일크리닝,인다4길 37-7 (수에뇨빌),064-725-0536,"양복드라이클리닝 8,000원, 셔츠 4,000원"
쉼표휴게김밥,번영로 316,0507-1410-1104,"김밥 2,500원, 라면 4,000원, 원두커피 1,300원"
제주마실게스트하우스,서광로2길 11-16,064-753-0077,"남자6인실 18,000원, 여자6인실 18,000원, 더블1인 35,000원, 4인가족실 60,000원, 3인실 50,000원, 2인실 40,000원"
조은이웃구이집,도령북길 1,064-748-1477,"돼지고기 오겹살 1인분(200g) 14,000원, 돼지고기 목살 1인분(200g) 14,000원, 열무국수 4,000원"
JJ노블휘트니스클럽,성신로1길 34 (신동부삼무3차아파트),064-743-1515,"1일 10,000원, 1개월 100,000원, 2개월 140,000원, 3개월 180,000원"
제주도 하숙집 게스트하우스,절물3길 22-4,010-5787-3200,"6인도미토리(여성전용) 20,000원, 6인도미토리(남성전용) 20,000원, 2인개인실 50,000원, 3인개인실 60,000원, 4인개인실 60,000원"
베이크,우정로 60,0507-1313-3109,"아메리카노 2,900원, 에그타르트 2,000원, 소금빵 2,000원"
제이학센,서해안로 232,064-711-8616,"한치해물토마토파스타 15,000원, 딱새우크림파스타 15,000원, 흑돼지로제파스타 15,000원, 뿔소라오일파스타 15,000원, 흑돼지로코모코 15,000원, 고르곤졸라또띠아피자 11,000원"
남원콩나물국밥,남원읍 일주동로 7147,064-764-7773,"콩나물국밥 5,500원, 김치콩나물국밥 6,000원, 순두부찌개 6,000원, 황태콩나물국밥 7,000원"
투빅커피,남원읍 태위로 684,064-764-1132,"아메리카노hot 1,500원, 아메리카노ICE 1,800원, 카페라떼 2,900원, 한라봉에이드 3,900원, 청귤에이드 3,900원, 천혜향스무디 4,200원"
낯선하루,성산읍 신양로122번길 30-8,010-2480-1250,"남성4인도미토리 30,000원, 여성4인도미토리 30,000원"
성산에오거들랑,성산읍 고성동서로 13-7,064-784-2692,"2인실 44,000원, 3인실 64,000원, 4인실 1인가격 20,000원, 6인실 1인가격 20,000원"
부전식당,성산읍 성산중앙로 36,064-782-1033,"우거지탕 9,000원, 돌솥비빔밥 9,000원, 갈치국 10,000원"
해오름식당,성산읍 일출로 260,064-782-2256,"해오름정식 10,000원, 해물뚝배기 13,000원, 문어라면 8,000원"
블루클리프,표선면 민속해안로 633-6,0507-1494-7782,"남성도미토리(4인) 20,000원, 여성도미토리(4인) 20,000원"
슬로시티게스트하우스,천지로 33,064-732-1286,"6인실(1베드) 17,000원, 4인실(1베드) 19,000원, 1인싱글룸 30,000원, 2인더블룸 39,000원, 2인벙커 39,000원, 3인벙커 49,000원"
삼겹살파티,문부로 4,064-732-3077,"제주산생오겹살(200g) 15,000원, 제주산두루치기 7,000원"
낭만팥집,동홍서로96번길 17,0507-1404-9625,"낭만팥빙수 6,000원, 단팥죽 7,000원"
킹마트분식,천제연로 154-1,064-738-3985,"순두부찌개 7,000원, 된장찌개 7,000원"
산내들,서광로4길 16,064-702-0885,"정식 8,000원, 비빔밥 7,000원, 김치찌개 7,000원, 갈비탕 8,000원"
탐나는식당몸국고사리해장국,하신상로 148,0507-1392-8275,"몸국 10,000원, 고사리해장국 9,000원, 흑돼지고기튀김 7,000원, 국수사리 1,000원"
굴무기낭,애월읍 납읍남로2길 6,0507-1484-1370,"감귤쉰다리에이드 5,000원, 쉰다리방 5,000원"
이삼구구,조천읍 신북로 536,0507-1394-2399,"통정식 9,000원, 찌개정식 12,000원"
오륙도식당,관덕로15길 10,064-758-7440,"해물뚝배기 9,000원, 냉면 7,000원"
설렘주의보,삼봉로2길 62,0507-1376-0308,"주니어컷 13,000원, 클리닉펌 50,000원"
농땡이연구소,중앙로 49 (대영빌딩),010-7377-0064,"숙박 20,000원"
피크닉메이트,아란4길 84,0507-1488-8201,"린넨피크닉세트 29,000원, 비치피크닉세트 29,000원, 네추럴테이블피크닉세트 39,000원, 폴라로이드카메라대여 15,000원"
제주 난장,중앙로5길 13,0507-1318-0640,"1인실 30,000원, 2인실 25,000원"
은혜중화요리,인다2길 20,064-723-0919,"자장면 6,000원, 짬뽕 8,000원, 미니탕수육 12,000원, 볶음밥 8,000원"
동문시장고기국수 금복식당,동문로 16,064-757-6055,"고기국수 8,000원, 멸치국수 6,000원, 비빔국수 7,000원"
마모루,광양13길 10-1 (드림주택),0507-1404-4303,"돈코츠라멘 8,000원, 부타동 8,000원, 규동 8,000원, 가츠동 8,000원, 히야시라멘 8,500원, 돈카츠카레라이스 8,500원"
백년손님,중앙로 270-1 (백두빌딩),0507-1362-7207,"한우소고기 해장국 5,900원, 한우우거지국밥 5,900원, 돼지양념갈비(350g) 15,000원, 해장국/우거지 한우 떡갈비 세트 10,000원, 해장국/우거지 한우 불고기 세트 10,000원, 불고기 냉면 세트 10,000원"
더오크라호텔,신광로4길 38,064-742-2300,"스탠다드더블 40,000원, 디럭스더블 45,000원, 디럭스트윈 51,000원, 디럭스시네마트윈 59,000원"
다마내기,원노형로 26 (서림빌딩),064-747-0618,"당구 10분 1,700원"
돗괴기에쐬주,다랑곶2길 27,0507-1446-0278,"고소한 제주산 16,000원, 담백한 수입산 13,000원"
맛소(맛있는소리),원노형5길 5,064-742-0455,"멸치국수 6,000원, 볶음밥 7,000원, 검은콩국수 8,000원"
소문난두루치기,우정로 17 (제웅1차솔내음빌리지),064-747-7478,"두루치기 9,000원, 쭈꾸미두루치기 10,000원"
불당골,서광로16길 11,064-721-5413,"황태해장국 9,000원, 순두부 8,000원, 사골해장국 9,000원"
탑아일랜드호텔,용남1길 47,010-7524-6337,"디럭스더블 39,000원, 디럭스트윈 45,000원, 패밀리트윈 65,000원"
양식당,성화로5길 5,0507-1484-2234,"알리오올리오 11,000원, 베이컨크림파스타 13,000원, 토마토파스타 13,000원"
명가돌집,우정로5길 10,064-745-2877,"돼지꼬리 19,000원, 꼬들살 18,000원, 목살 15,000원, 오겹살 15,000원, 돼지모듬 48,000원"
